 09-Dec-2012       (rnp_101.dat - 1.0*Aver(rnp_100.dat,rnp_102.dat) /  0.5600 
 rnp_101.dat  Conc = .56E+00  N1 =    1  N2 = 1043
 rnp_100.dat  Conc = 0.0d+0   N1 =    1  N2 = 1043
 rnp_102.dat  Conc = 0.0d+0   N1 =    1  N2 = 1043
  0.166470E+01  0.958342E+00  0.290947E+00
  0.166902E+01  0.499482E+00  0.284604E+00
  0.167334E+01  0.331609E+00  0.288297E+00
  0.167765E+01  0.324716E+00  0.286767E+00
  0.168197E+01  0.458991E+00  0.287339E+00
  0.168629E+01  0.521832E+00  0.285854E+00
  0.169061E+01  0.931878E+00  0.288698E+00
  0.169493E+01  0.342379E+00  0.283217E+00
  0.169924E+01  0.894383E+00  0.283172E+00
  0.170356E+01  0.677090E+00  0.283874E+00
  0.170788E+01  0.863925E+00  0.285146E+00
  0.171220E+01  0.551956E+00  0.284488E+00
  0.171652E+01  0.241952E+00  0.288157E+00
  0.172083E+01  0.470997E+00  0.281154E+00
  0.172515E+01  0.636887E+00  0.283583E+00
  0.172947E+01  0.297074E+00  0.280617E+00
  0.173379E+01  0.503586E+00  0.283611E+00
  0.173811E+01  0.344990E+00  0.279456E+00
  0.174242E+01  0.442601E+00  0.283659E+00
  0.174674E+01  0.608022E+00  0.279256E+00
  0.175106E+01  0.682288E+00  0.283834E+00
  0.175538E+01  0.145529E+00  0.280714E+00
  0.175970E+01  0.350089E+00  0.279309E+00
  0.176401E+01  0.539706E+00  0.278481E+00
  0.176833E+01  0.447911E+00  0.278360E+00
  0.177265E+01  0.215065E+00  0.280202E+00
  0.177697E+01  0.410517E+00  0.278913E+00
  0.178129E+01  0.499480E+00  0.282876E+00
  0.178560E+01  0.104997E+01  0.277013E+00
  0.178992E+01  0.104256E+01  0.279137E+00
  0.179424E+01  0.206011E-01  0.275014E+00
  0.179856E+01  0.576720E+00  0.278472E+00
  0.180288E+01  0.709250E+00  0.275837E+00
  0.180719E+01  0.370222E+00  0.277132E+00
  0.181151E+01 -0.190805E+00  0.278420E+00
  0.181583E+01  0.449183E+00  0.276411E+00
  0.182015E+01  0.222493E+00  0.274007E+00
  0.182447E+01  0.419598E+00  0.279027E+00
  0.182879E+01 -0.461140E-01  0.270515E+00
  0.183310E+01  0.343378E+00  0.277587E+00
  0.183742E+01  0.648710E+00  0.271488E+00
  0.184174E+01  0.527179E+00  0.276412E+00
  0.184606E+01  0.251279E+00  0.272687E+00
  0.185038E+01  0.804416E+00  0.276970E+00
  0.185469E+01  0.266689E+00  0.281169E+00
  0.185901E+01  0.304530E+00  0.285460E+00
  0.186333E+01 -0.883815E-01  0.287841E+00
  0.186765E+01  0.256853E+00  0.290320E+00
  0.187197E+01  0.436545E+00  0.292052E+00
  0.187628E+01  0.532300E+00  0.296109E+00
  0.188060E+01 -0.774211E-01  0.298011E+00
  0.188492E+01  0.307352E+00  0.299312E+00
  0.188924E+01  0.134771E+00  0.299861E+00
  0.189356E+01  0.100346E+01  0.302426E+00
  0.189787E+01  0.292818E+00  0.303933E+00
  0.190219E+01  0.505907E+00  0.304209E+00
  0.190651E+01  0.470541E+00  0.307122E+00
  0.191083E+01  0.366409E+00  0.308454E+00
  0.191515E+01  0.176926E+00  0.309633E+00
  0.191946E+01 -0.230040E+00  0.302938E+00
  0.192378E+01  0.474097E+00  0.297890E+00
  0.192810E+01  0.437676E+00  0.295933E+00
  0.193242E+01  0.291651E+00  0.288880E+00
  0.193674E+01  0.518858E+00  0.285527E+00
  0.194105E+01  0.351291E+00  0.292246E+00
  0.194537E+01  0.777086E+00  0.283967E+00
  0.194969E+01  0.514382E+00  0.289541E+00
  0.195401E+01  0.391417E+00  0.285453E+00
  0.195833E+01  0.857253E+00  0.286617E+00
  0.196264E+01  0.800997E+00  0.280735E+00
  0.196696E+01  0.212656E+00  0.281514E+00
  0.197128E+01  0.991804E+00  0.281781E+00
  0.197560E+01  0.215211E+00  0.279707E+00
  0.197992E+01  0.378513E+00  0.280015E+00
  0.198423E+01  0.474071E+00  0.280842E+00
  0.198855E+01  0.641664E-01  0.278933E+00
  0.199287E+01  0.252009E+00  0.280695E+00
  0.199719E+01  0.248950E+00  0.274870E+00
  0.200151E+01  0.238615E+00  0.273628E+00
 ========================================
# rnp                                                                           
# Sample c= 0.56 mg/ml                                                          
#                                                                               
# Number of frames collected: 10                                                
# Exposure time per frame: 1.0                                                  
# No significant radiation damage detected, merging 10 files                    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_101_00001.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_101_00002.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_101_00003.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_101_00004.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_101_00005.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_101_00006.dat    
 ========================================
# buffer rnp                                                                    
# Sample c= 0.0 mg/ml                                                           
#                                                                               
# Number of frames collected: 10                                                
# Exposure time per frame: 1.0                                                  
# No significant radiation damage detected, merging 10 files                    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_100_00001.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_100_00002.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_100_00003.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_100_00004.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_100_00005.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_100_00006.dat    
 ========================================
# buffer rnp                                                                    
# Sample c= 0.0 mg/ml                                                           
#                                                                               
# Number of frames collected: 10                                                
# Exposure time per frame: 1.0                                                  
# No significant radiation damage detected, merging 10 files                    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_102_00001.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_102_00002.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_102_00003.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_102_00004.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_102_00005.dat    
# Merged from: /data/visitor/mx1372/bm29/09122012/audre/1d/rnp_102_00006.dat    
 ========================================
